18A Test,P Diddy,P Diddy,E160520BC,E160520BC,170710F,170710F
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
154596,12.125,18.027,11.942,18.027,12.069,18.011
155120,12.125,18.027,11.942,18.027,12.069,18.011
155631,12.125,18.027,11.942,18.027,12.069,18.011
156157,12.125,18.027,11.942,18.027,12.069,18.011
156651,12.125,18.027,11.942,18.027,12.052,18.011
157180,12.125,18.027,11.942,18.027,12.052,18.011
157704,12.125,18.027,11.942,18.027,12.052,18.011
158217,12.125,18.027,11.942,18.027,12.052,18.011
158743,12.125,18.027,11.942,18.027,12.052,18.011
159257,12.125,18.027,11.942,18.027,12.052,18.011
159783,12.125,18.027,11.942,18.027,12.052,18.011
160336,12.109,18.027,11.942,18.027,12.052,18.011
160826,12.109,18.027,11.942,18.027,12.052,18.011
161356,12.109,18.027,11.942,18.027,12.052,18.011
161859,12.109,18.027,11.942,18.027,12.052,18.011
162382,12.109,18.027,11.942,18.027,12.052,18.011
162880,12.109,18.027,11.942,18.027,12.052,18.011
163418,12.109,18.027,11.942,18.027,12.052,18.011
163935,12.109,18.027,11.942,18.027,12.052,18.011
164469,12.109,18.027,11.942,18.027,12.052,18.011
165033,12.109,18.027,11.942,18.027,12.052,18.011
165611,12.109,18.027,11.942,18.027,12.052,18.011
166127,12.109,18.027,11.942,18.027,12.052,18.011
166644,12.125,18.027,11.942,18.027,12.052,18.011
167192,12.109,18.027,11.942,18.027,12.052,18.011
167699,12.125,18.027,11.942,18.027,12.052,18.011
168285,12.109,18.027,11.942,18.027,12.052,18.011
168829,12.125,18.027,11.942,18.027,12.052,18.011
169322,12.125,18.027,11.942,18.027,12.052,18.011
169845,12.109,18.027,11.942,18.027,12.052,18.011
170347,12.125,18.027,11.942,18.027,12.052,18.011
170875,12.125,18.027,11.942,18.027,12.052,18.011
171387,12.125,18.027,11.942,18.027,12.052,18.011
171978,12.109,18.027,11.942,18.027,12.052,18.011
172533,12.125,18.027,11.942,18.027,12.052,18.011
173027,12.109,18.027,11.942,18.027,12.052,18.011
173552,12.109,18.027,11.942,18.027,12.052,18.011
174120,12.125,18.027,11.942,18.027,12.052,18.011
174621,12.109,18.027,11.942,18.027,12.052,18.011
175150,12.109,18.027,11.942,18.027,12.052,18.011
175656,12.109,18.027,11.942,18.027,12.052,18.011
176176,12.109,18.027,11.942,18.027,12.052,18.011
176677,12.109,18.027,11.942,18.027,12.052,18.011
177192,12.109,18.027,11.942,18.027,12.052,18.011
177688,12.109,18.027,11.942,18.027,12.052,18.011
178220,12.109,18.027,11.942,18.027,12.052,18.011
178729,12.109,18.027,11.942,18.027,12.052,18.011
179247,12.109,18.027,11.942,18.027,12.052,18.011
179751,12.109,18.027,11.942,18.027,12.052,18.011
180274,12.109,18.027,11.942,18.027,12.052,18.011
180797,12.109,18.027,11.942,18.027,12.052,18.011
181305,12.109,18.027,11.942,18.027,12.052,18.011
181828,12.109,18.027,11.942,18.027,12.052,18.011
182321,12.109,18.027,11.942,18.027,12.052,18.011
182846,12.109,18.027,11.942,18.027,12.052,18.011
183338,12.109,18.027,11.942,18.027,12.052,18.011
183877,12.109,18.027,11.942,18.027,12.052,18.011
184419,12.109,18.027,11.942,18.027,12.052,18.011
184939,12.109,18.027,11.942,18.027,12.052,18.011
185460,12.109,18.027,11.942,18.027,12.052,18.011
185959,12.109,18.027,11.942,18.027,12.052,18.011
186495,12.109,18.027,11.942,18.027,12.052,18.011
186988,12.109,18.027,11.942,18.027,12.052,18.011
187528,12.109,18.027,11.942,18.027,12.052,18.011
188020,12.109,18.027,11.942,18.027,12.052,18.011
188547,12.109,18.027,11.942,18.027,12.052,18.011
189048,12.109,18.027,11.942,18.027,12.052,18.011
189575,12.109,18.027,11.942,18.027,12.052,18.011
190072,12.109,18.027,11.942,18.027,12.052,18.011
190599,12.109,18.027,11.942,18.027,12.052,18.011
191138,12.109,18.027,11.942,18.027,12.052,18.011
191660,12.109,18.027,11.942,18.027,12.052,18.011
192188,12.109,18.027,11.942,18.027,12.052,18.011
192687,12.109,18.027,11.942,18.027,12.052,18.011
193223,12.109,18.027,11.942,18.027,12.052,18.011
193724,12.109,18.027,11.942,18.027,12.052,18.011
194280,12.109,18.027,11.942,18.027,12.052,18.011
194814,12.109,18.027,11.942,18.027,12.052,18.011
195326,12.109,18.027,11.942,18.027,12.052,18.011
195855,12.109,18.027,11.942,18.027,12.052,18.011
196359,12.109,18.027,11.942,18.027,12.052,18.011
196884,12.109,18.027,11.942,18.027,12.052,18.011
197388,12.109,18.027,11.942,18.027,12.052,18.011
197904,12.109,18.027,11.942,18.027,12.052,18.011
198396,12.109,18.027,11.942,18.027,12.052,18.011
198926,12.109,18.027,11.942,18.027,12.052,18.011
199433,12.109,18.027,11.942,18.027,12.052,18.011
199963,12.109,18.027,11.942,18.027,12.052,18.011
200449,12.109,18.027,11.942,18.027,12.052,18.011
200974,12.109,18.027,11.942,18.027,12.052,18.011
201471,12.109,18.027,11.942,18.027,12.052,18.011
202000,12.109,18.027,11.942,18.027,12.052,18.011
202502,12.109,18.027,11.942,18.027,12.052,18.011
203023,12.109,18.027,11.942,18.027,12.052,18.011
203529,12.109,18.027,11.942,18.027,12.052,18.011
204053,12.109,18.027,11.942,18.027,12.052,18.011
204573,12.109,18.027,11.942,18.027,12.052,18.011
205112,12.109,18.027,11.942,18.027,12.052,18.011
205603,12.109,18.027,11.942,18.027,12.052,18.011
206113,12.109,18.027,11.942,18.027,12.052,18.011
206615,12.109,18.027,11.942,18.027,12.052,18.011
207141,12.109,18.027,11.942,18.027,12.036,18.011
207639,12.109,18.027,11.942,18.027,12.036,18.011
208158,12.109,18.027,11.942,18.027,12.036,18.011
208663,12.109,18.027,11.942,18.027,12.036,18.011
209190,12.109,18.027,11.942,18.027,12.036,18.011
209698,12.109,18.027,11.942,18.027,12.036,18.011
210211,12.109,18.027,11.942,18.027,12.036,18.011
210716,12.109,18.027,11.942,18.027,12.036,18.011
211228,12.109,18.027,11.942,18.027,12.036,18.011
211756,12.109,18.027,11.942,18.027,12.036,18.011
212255,12.109,18.027,11.942,18.027,12.036,18.011
212779,12.109,18.027,11.942,18.027,12.036,18.011
213276,12.109,18.027,11.942,18.027,12.036,18.011
213802,12.109,18.027,11.942,18.027,12.036,18.011
214299,12.109,18.027,11.942,18.027,12.036,18.011
214868,12.109,18.027,11.942,18.027,12.036,18.011
215387,12.109,18.027,11.942,18.027,12.036,18.011
215919,12.109,18.027,11.942,18.027,12.036,18.011
216431,12.109,18.027,11.942,18.027,12.036,18.011
