18A Test,Kowalski,Kowalski,Fresh Prince,Fresh Prince,Snoop Dogg,Snoop Dogg
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
176140,12.175,18.027,11.925,18.027,12.052,18.011
176630,12.175,18.027,11.925,18.027,12.052,18.011
177156,12.175,18.027,11.925,18.027,12.052,18.011
177651,12.175,18.027,11.925,18.027,12.052,18.011
178166,12.175,18.027,11.925,18.027,12.052,18.011
178660,12.175,18.027,11.925,18.027,12.052,18.011
179186,12.175,18.027,11.925,18.027,12.052,18.011
179710,12.175,18.027,11.925,18.027,12.052,18.011
180240,12.175,18.027,11.925,18.027,12.052,18.011
180743,12.175,18.027,11.925,18.027,12.052,18.011
181268,12.175,18.027,11.925,18.027,12.052,18.011
181758,12.175,18.027,11.925,18.027,12.052,18.011
182282,12.175,18.027,11.925,18.027,12.052,18.011
182770,12.175,18.027,11.925,18.027,12.052,18.011
183300,12.175,18.027,11.925,18.027,12.052,18.011
183787,12.175,18.027,11.925,18.027,12.052,18.011
184313,12.175,18.027,11.925,18.027,12.052,18.011
184814,12.175,18.027,11.925,18.027,12.052,18.011
185347,12.175,18.027,11.925,18.027,12.052,18.011
185845,12.175,18.027,11.925,18.027,12.052,18.011
186368,12.175,18.027,11.925,18.027,12.052,18.011
186870,12.175,18.027,11.925,18.027,12.052,18.011
187387,12.175,18.027,11.925,18.027,12.052,18.011
187888,12.175,18.027,11.925,18.027,12.052,18.011
188414,12.175,18.027,11.925,18.027,12.052,18.011
188923,12.175,18.027,11.925,18.027,12.052,18.011
189446,12.175,18.027,11.925,18.027,12.052,18.011
189993,12.175,18.027,11.925,18.027,12.052,18.011
190494,12.175,18.027,11.925,18.027,12.052,18.011
191017,12.175,18.027,11.925,18.027,12.052,18.011
191515,12.175,18.027,11.925,18.027,12.052,18.011
192035,12.175,18.027,11.925,18.027,12.052,18.011
192522,12.175,18.027,11.925,18.027,12.052,18.011
193053,12.175,18.027,11.925,18.027,12.052,18.011
193553,12.175,18.027,11.925,18.027,12.052,18.011
194064,12.175,18.027,11.925,18.027,12.052,18.011
194594,12.175,18.027,11.925,18.027,12.052,18.011
195092,12.175,18.027,11.925,18.027,12.052,18.011
195604,12.175,18.027,11.925,18.027,12.052,18.011
196094,12.175,18.027,11.925,18.027,12.052,18.011
196622,12.175,18.027,11.925,18.027,12.052,18.011
197125,12.175,18.027,11.925,18.027,12.052,18.011
197657,12.175,18.027,11.925,18.027,12.052,18.011
198150,12.175,18.027,11.925,18.027,12.052,18.011
198679,12.175,18.027,11.925,18.027,12.052,18.011
199179,12.175,18.027,11.925,18.027,12.052,18.011
199736,12.175,18.027,11.925,18.027,12.052,18.011
200225,12.175,18.027,11.925,18.027,12.052,18.011
200745,12.175,18.027,11.925,18.027,12.052,18.011
201256,12.175,18.027,11.925,18.027,12.052,18.011
201779,12.175,18.027,11.925,18.027,12.052,18.011
202307,12.175,18.027,11.925,18.027,12.052,18.011
202791,12.175,18.027,11.925,18.027,12.052,18.011
203311,12.175,18.027,11.925,18.027,12.052,18.011
203811,12.175,18.027,11.925,18.027,12.052,18.011
204331,12.175,18.027,11.925,18.027,12.052,18.011
204840,12.175,18.027,11.925,18.027,12.052,18.011
205378,12.175,18.027,11.925,18.027,12.052,18.011
205879,12.175,18.027,11.925,18.027,12.052,18.011
206398,12.175,18.027,11.925,18.027,12.052,18.011
206895,12.175,18.027,11.925,18.027,12.052,18.011
207434,12.175,18.027,11.925,18.027,12.052,18.011
207940,12.175,18.027,11.925,18.027,12.052,18.011
208456,12.175,18.027,11.925,18.027,12.052,18.011
208960,12.175,18.027,11.925,18.027,12.052,18.011
209493,12.175,18.027,11.925,18.027,12.052,18.011
210052,12.175,18.027,11.925,18.027,12.052,18.011
210549,12.175,18.027,11.925,18.027,12.052,18.011
211078,12.175,18.027,11.925,18.027,12.052,18.011
211570,12.175,18.027,11.925,18.027,12.052,18.011
212098,12.175,18.027,11.925,18.027,12.052,18.011
212599,12.175,18.027,11.925,18.027,12.052,18.011
213127,12.175,18.027,11.909,18.027,12.052,18.011
213611,12.175,18.027,11.909,18.027,12.052,18.011
214139,12.175,18.027,11.909,18.027,12.052,18.011
214644,12.175,18.027,11.909,18.027,12.052,18.011
215168,12.175,18.027,11.909,18.027,12.052,18.011
215670,12.175,18.027,11.909,18.027,12.052,18.011
216192,12.175,18.027,11.909,18.027,12.052,18.011
216686,12.175,18.027,11.909,18.027,12.052,18.011
217220,12.175,18.027,11.909,18.027,12.052,18.011
217725,12.175,18.027,11.909,18.027,12.052,18.011
218249,12.175,18.027,11.909,18.027,12.052,18.011
218755,12.175,18.027,11.909,18.027,12.052,18.011
219284,12.175,18.027,11.909,18.027,12.052,18.011
219832,12.175,18.027,11.909,18.027,12.052,18.011
220336,12.175,18.027,11.909,18.027,12.052,18.011
220854,12.159,18.027,11.909,18.027,12.052,18.011
221382,12.159,18.027,11.909,18.027,12.052,18.011
221908,12.159,18.027,11.909,18.027,12.052,18.011
222429,12.159,18.027,11.909,18.027,12.052,18.011
222922,12.159,18.027,11.909,18.027,12.052,18.011
223448,12.159,18.027,11.909,18.027,12.052,18.011
223934,12.159,18.027,11.909,18.027,12.052,18.011
224460,12.159,18.027,11.909,18.027,12.052,18.011
224964,12.159,18.027,11.909,18.027,12.052,18.011
225494,12.159,18.027,11.909,18.027,12.052,18.011
