18A Test,Led Zeppelin,Led Zeppelin,Johnny Cash,Johnny Cash,Fresh Prince,Fresh Prince
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
241298,12.491,18.027,12.34,18.027,12.268,18.011
241808,12.491,18.027,12.34,18.027,12.268,18.011
242298,12.491,18.027,12.34,18.027,12.268,18.011
242842,12.491,18.027,12.34,18.027,12.268,18.011
243360,12.491,18.027,12.34,18.027,12.268,18.011
243863,12.491,18.027,12.34,18.027,12.268,18.011
244387,12.491,18.027,12.34,18.027,12.268,18.011
244892,12.491,18.027,12.34,18.027,12.268,18.011
245413,12.491,18.027,12.34,18.027,12.268,18.011
245907,12.491,18.027,12.34,18.027,12.268,18.011
246433,12.491,18.027,12.34,18.027,12.268,18.011
246938,12.491,18.027,12.34,18.027,12.268,18.011
247471,12.491,18.027,12.34,18.027,12.268,18.011
247979,12.491,18.027,12.34,18.027,12.268,18.011
248536,12.491,18.027,12.34,18.027,12.268,18.011
249068,12.491,18.027,12.34,18.027,12.268,18.011
249570,12.491,18.027,12.34,18.027,12.268,18.011
250093,12.491,18.027,12.34,18.027,12.251,18.011
250592,12.475,18.027,12.34,18.027,12.251,18.011
251155,12.475,18.027,12.34,18.027,12.251,18.011
251663,12.475,18.027,12.34,18.027,12.251,18.011
252204,12.475,18.027,12.34,18.027,12.251,18.011
252718,12.475,18.027,12.34,18.027,12.251,18.011
253208,12.475,18.027,12.34,18.027,12.251,18.011
253729,12.475,18.027,12.34,18.027,12.251,18.011
254230,12.475,18.027,12.34,18.027,12.251,18.011
254759,12.475,18.027,12.34,18.027,12.251,18.011
255255,12.475,18.027,12.34,18.027,12.251,18.011
255792,12.475,18.027,12.34,18.027,12.251,18.011
256302,12.475,18.027,12.34,18.027,12.251,18.011
256834,12.475,18.027,12.34,18.027,12.251,18.011
257337,12.475,18.027,12.34,18.027,12.251,18.011
