18A Test,ACDC,ACDC,Fresh Prince,Fresh Prince,Snoop Dogg,Snoop Dogg
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
149392,12.225,18.027,12.903,0.003,12.931,-0.01
149880,12.225,18.027,12.903,0.003,12.931,-0.01
150385,12.225,18.027,12.903,0.003,12.931,-0.01
150863,12.225,18.027,12.903,0.003,12.931,-0.01
151363,12.225,18.027,12.903,0.003,12.931,-0.01
151846,12.225,18.027,12.903,0.003,12.931,-0.01
152360,12.225,18.027,12.903,0.003,12.931,-0.01
152837,12.225,18.027,12.903,0.003,12.931,-0.01
153345,12.225,18.027,12.903,0.003,12.931,-0.01
153860,12.225,18.027,12.903,0.003,12.931,-0.01
154355,12.225,18.027,12.903,0.003,12.931,-0.01
154836,12.225,18.027,12.903,0.003,12.931,-0.01
155344,12.225,18.027,12.903,0.003,12.931,-0.01
155814,12.225,18.027,12.903,0.003,12.931,0.006
156318,12.225,18.027,12.903,0.003,12.931,-0.01
156803,12.225,18.027,12.919,0.003,12.931,-0.01
157338,12.225,18.027,12.919,0.003,12.931,-0.01
157859,12.225,18.027,12.919,0.003,12.931,-0.01
158333,12.225,18.027,12.919,0.003,12.931,0.006
158841,12.225,18.027,12.919,0.003,12.931,-0.01
159323,12.225,18.027,12.919,0.003,12.931,-0.01
159829,12.225,18.027,12.919,0.003,12.931,-0.01
160299,12.225,18.027,12.919,0.003,12.931,-0.01
160813,12.225,18.027,12.919,0.003,12.931,-0.01
161299,12.225,18.027,12.919,0.003,12.948,-0.01
161799,12.225,18.027,12.919,0.003,12.948,-0.01
162280,12.225,18.027,12.919,0.003,12.948,-0.01
162790,12.225,18.027,12.919,0.003,12.948,-0.01
163271,12.225,18.027,12.919,0.003,12.948,-0.01
163773,12.225,18.027,12.919,0.003,12.948,0.006
164251,12.225,18.027,12.919,0.003,12.948,-0.01
164761,12.225,18.027,12.919,0.003,12.948,-0.01
165229,12.225,18.027,12.919,0.003,12.948,0.006
165742,12.225,18.027,12.919,0.003,12.948,-0.01
166216,12.225,18.027,12.919,0.003,12.948,-0.01
166706,12.225,18.027,12.919,0.003,12.948,-0.01
167218,12.225,18.027,12.919,0.003,12.948,-0.01
167717,12.225,18.027,12.919,0.003,12.948,-0.01
168201,12.225,18.027,12.919,0.003,12.948,-0.01
168693,12.225,18.027,12.919,0.003,12.948,-0.01
169168,12.225,18.027,12.919,0.003,12.948,-0.01
169690,12.225,18.027,12.919,0.003,12.948,-0.01
170168,12.225,18.027,12.919,0.003,12.948,-0.01
170658,12.225,18.027,12.919,0.003,12.948,0.006
171128,12.225,18.027,12.919,0.003,12.948,-0.01
171631,12.225,18.027,12.919,0.003,12.948,-0.01
172114,12.225,18.027,12.919,0.003,12.948,-0.01
172617,12.225,18.027,12.919,0.003,12.948,-0.01
173094,12.225,18.027,12.919,0.003,12.948,-0.01
173601,12.225,18.027,12.919,0.003,12.948,-0.01
174076,12.225,18.027,12.919,0.003,12.948,0.006
174576,12.225,18.027,12.919,0.003,12.948,-0.01
175059,12.225,18.027,12.919,0.003,12.948,-0.01
175559,12.225,18.027,12.919,0.003,12.948,-0.01
176034,12.225,18.027,12.919,0.003,12.948,-0.01
176540,12.225,18.027,12.919,0.003,12.948,-0.01
177021,12.225,18.027,12.919,0.003,12.948,-0.01
177554,12.225,18.027,12.919,0.003,12.948,-0.01
178067,12.225,18.027,12.919,0.003,12.948,-0.01
178549,12.225,18.027,12.919,0.003,12.948,-0.01
179042,12.225,18.027,12.919,0.003,12.948,-0.01
179522,12.225,18.027,12.919,0.003,12.948,-0.01
180025,12.225,18.027,12.919,0.003,12.948,-0.01
180500,12.225,18.027,12.919,0.003,12.948,-0.01
181010,12.225,18.027,12.919,0.003,12.948,-0.01
181491,12.225,18.027,12.919,0.003,12.948,-0.01
181994,12.225,18.027,12.919,0.003,12.948,-0.01
182464,12.225,18.027,12.919,0.003,12.948,-0.01
182977,12.225,18.027,12.919,0.003,12.948,-0.01
183451,12.225,18.027,12.919,0.003,12.948,-0.01
183959,12.225,18.027,12.919,0.003,12.948,-0.01
184433,12.225,18.027,12.919,0.003,12.948,-0.01
184935,12.225,18.027,12.919,0.003,12.948,-0.01
185412,12.225,18.027,12.919,0.003,12.948,-0.01
185930,12.225,18.027,12.919,0.003,12.964,-0.01
186411,12.225,18.027,12.919,0.003,12.964,-0.01
186923,12.225,18.027,12.919,0.003,12.964,-0.01
187431,12.225,18.027,12.919,0.003,12.964,-0.01
187936,12.225,18.027,12.919,0.003,12.964,-0.01
188418,12.225,18.027,12.919,0.003,12.964,-0.01
188925,12.225,18.027,12.919,0.003,12.964,0.006
189398,12.225,18.027,12.919,0.003,12.964,-0.01
189914,12.225,18.027,12.919,0.003,12.964,-0.01
190386,12.225,18.027,12.919,0.003,12.964,-0.01
190881,12.225,18.027,12.919,0.003,12.964,-0.01
191362,12.225,18.027,12.919,0.003,12.964,-0.01
191877,12.225,18.027,12.919,0.003,12.964,-0.01
192341,12.225,18.027,12.919,0.003,12.964,0.006
192836,12.225,18.027,12.919,0.003,12.964,-0.01
193317,12.225,18.027,12.936,0.003,12.964,-0.01
193839,12.225,18.027,12.936,0.003,12.964,-0.01
194316,12.225,18.027,12.936,0.003,12.964,-0.01
194814,12.225,18.027,12.936,0.003,12.964,-0.01
195290,12.225,18.027,12.936,0.003,12.964,0.006
195794,12.225,18.027,12.936,0.003,12.964,-0.01
196270,12.225,18.027,12.936,0.003,12.964,-0.01
196777,12.225,18.027,12.936,0.003,12.964,-0.01
197256,12.225,18.027,12.936,0.003,12.964,-0.01
197792,12.225,18.027,12.936,0.003,12.964,-0.01
198268,12.225,18.027,12.936,0.003,12.964,-0.01
198769,12.225,18.027,12.936,0.003,12.964,-0.01
199277,12.225,18.027,12.936,0.003,12.964,-0.01
199758,12.225,18.027,12.936,0.003,12.964,-0.01
200266,12.225,18.027,12.936,0.003,12.964,-0.01
200741,12.225,18.027,12.936,0.003,12.964,-0.01
201238,12.225,18.027,12.936,0.003,12.964,0.006
201736,12.225,18.027,12.936,0.003,12.964,-0.01
202243,12.225,18.027,12.936,0.003,12.964,-0.01
202726,12.225,18.027,12.936,0.003,12.964,-0.01
203229,12.225,18.027,12.936,0.003,12.964,-0.01
203705,12.225,18.027,12.936,0.003,12.964,-0.01
204215,12.225,18.027,12.936,0.003,12.964,-0.01
204681,12.225,18.027,12.936,0.003,12.964,-0.01
205194,12.225,18.027,12.936,0.003,12.964,-0.01
205677,12.225,18.027,12.936,0.003,12.964,-0.01
206170,12.225,18.027,12.936,0.003,12.964,-0.01
206651,12.225,18.027,12.936,0.003,12.964,-0.01
207153,12.225,18.027,12.936,0.003,12.964,-0.01
207656,12.225,18.027,12.936,0.003,12.964,-0.01
208162,12.225,18.027,12.936,0.003,12.964,-0.01
208639,12.225,18.027,12.936,0.003,12.964,-0.01
209145,12.225,18.027,12.936,0.003,12.964,-0.01
209637,12.225,18.027,12.936,0.003,12.964,-0.01
210155,12.225,18.027,12.936,0.003,12.964,0.006
210631,12.225,18.027,12.936,0.003,12.964,-0.01
211140,12.225,18.027,12.936,0.003,12.964,-0.01
211620,12.225,18.027,12.936,0.003,12.964,-0.01
212122,12.225,18.027,12.936,0.003,12.964,0.006
212613,12.225,18.027,12.936,0.003,12.964,-0.01
213116,12.225,18.027,12.936,0.003,12.964,-0.01
213599,12.225,18.027,12.936,0.003,12.981,-0.01
214088,12.225,18.027,12.936,0.003,12.981,0.006
214558,12.225,18.027,12.936,0.003,12.981,-0.01
215069,12.225,18.027,12.936,0.003,12.981,-0.01
215556,12.225,18.027,12.936,0.003,12.981,-0.01
216062,12.225,18.027,12.936,0.003,12.981,-0.01
216552,12.225,18.027,12.936,0.003,12.981,-0.01
217063,12.225,18.027,12.936,0.003,12.981,-0.01
217550,12.225,18.027,12.936,0.003,12.981,-0.01
218090,12.225,18.027,12.936,0.003,12.981,-0.01
218563,12.225,18.027,12.936,0.003,12.981,-0.01
219055,12.225,18.027,12.936,0.003,12.981,-0.01
219564,12.225,18.027,12.936,0.003,12.981,-0.01
220047,12.225,18.027,12.936,0.003,12.981,-0.01
220542,12.225,18.027,12.936,0.003,12.981,-0.01
221021,12.225,18.027,12.936,0.003,12.981,-0.01
221526,12.225,18.027,12.936,0.003,12.981,-0.01
222020,12.225,18.027,12.936,0.003,12.981,-0.01
222531,12.225,18.027,12.936,0.003,12.981,-0.01
223011,12.225,18.027,12.936,0.003,12.981,-0.01
223523,12.225,18.027,12.936,0.003,12.981,-0.01
223988,12.225,18.027,12.936,0.003,12.981,-0.01
224498,12.225,18.027,12.936,0.003,12.981,-0.01
224971,12.225,18.027,12.936,0.003,12.981,-0.01
225473,12.225,18.027,12.936,0.003,12.981,0.006
225972,12.225,18.027,12.936,0.003,12.981,-0.01
226474,12.225,18.027,12.936,0.003,12.981,-0.01
226949,12.225,18.027,12.936,0.003,12.981,-0.01
227449,12.225,18.027,12.936,0.003,12.981,-0.01
227957,12.225,18.027,12.936,0.003,12.981,-0.01
228471,12.225,18.027,12.936,0.003,12.981,0.006
228983,12.225,18.027,12.936,0.003,12.981,-0.01
229454,12.225,18.027,12.936,0.003,12.981,-0.01
229979,12.225,18.027,12.936,0.003,12.981,-0.01
230461,12.225,18.027,12.936,0.003,12.981,-0.01
230961,12.225,18.027,12.936,0.003,12.981,-0.01
231445,12.225,18.027,12.936,0.003,12.981,-0.01
231947,12.225,18.027,12.936,0.003,12.981,-0.01
232430,12.225,18.027,12.936,0.003,12.981,-0.01
232945,12.225,18.027,12.936,0.003,12.981,-0.01
233417,12.225,18.027,12.936,0.003,12.981,-0.01
233930,12.225,18.027,12.936,0.003,12.981,-0.01
234403,12.225,18.027,12.936,0.003,12.981,0.006
234901,12.225,18.027,12.953,0.003,12.981,-0.01
235384,12.225,18.027,12.953,0.003,12.981,-0.01
235884,12.225,18.027,12.953,0.003,12.981,-0.01
236357,12.225,18.027,12.953,0.003,12.981,-0.01
236874,12.225,18.027,12.953,0.003,12.981,-0.01
