18A Test,Whitesnake,Whitesnake,Tupac,Tupac,Fetty Wap,Fetty Wap
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
157028,12.375,18.027,11.925,18.027,12.218,18.011
157550,12.375,18.027,11.925,18.027,12.218,18.011
158043,12.375,18.027,11.925,18.027,12.218,18.011
158556,12.375,18.027,11.925,18.027,12.218,18.011
159056,12.375,18.027,11.925,18.027,12.218,18.011
159587,12.375,18.027,11.925,18.027,12.218,18.011
160109,12.375,18.027,11.925,18.027,12.218,18.011
160609,12.375,18.027,11.925,18.027,12.218,18.011
161153,12.375,18.027,11.925,18.027,12.218,18.011
161649,12.375,18.027,11.925,18.027,12.218,18.011
162179,12.375,18.027,11.925,18.027,12.218,18.011
162681,12.375,18.027,11.925,18.027,12.218,18.011
163207,12.375,18.027,11.925,18.027,12.218,18.011
163712,12.375,18.027,11.925,18.027,12.218,18.011
164231,12.375,18.027,11.925,18.027,12.218,18.011
164731,12.375,18.027,11.925,18.027,12.218,18.011
165255,12.375,18.027,11.925,18.027,12.218,18.011
165755,12.375,18.027,11.925,18.027,12.218,18.011
166273,12.375,18.027,11.925,18.027,12.218,18.011
166769,12.375,18.027,11.925,18.027,12.218,18.011
167293,12.375,18.027,11.925,18.027,12.218,18.011
167796,12.375,18.027,11.925,18.027,12.218,18.011
168317,12.375,18.027,11.925,18.027,12.218,18.011
168829,12.375,18.027,11.925,18.027,12.218,18.011
169337,12.375,18.027,11.925,18.027,12.218,18.011
169859,12.375,18.027,11.925,18.027,12.218,18.011
170362,12.375,18.027,11.925,18.027,12.218,18.011
170888,12.375,18.027,11.925,18.027,12.218,18.011
171411,12.375,18.027,11.925,18.027,12.218,18.011
171947,12.375,18.027,11.925,18.027,12.218,18.011
172447,12.375,18.027,11.925,18.027,12.218,18.011
172967,12.375,18.027,11.925,18.027,12.218,18.011
173512,12.375,18.027,11.925,18.027,12.218,18.011
174000,12.375,18.027,11.925,18.027,12.218,18.011
174518,12.375,18.027,11.925,18.027,12.218,18.011
175019,12.375,18.027,11.925,18.027,12.218,18.011
175547,12.375,18.027,11.925,18.027,12.218,18.011
176034,12.375,18.027,11.925,18.027,12.218,18.011
176556,12.375,18.027,11.925,18.027,12.218,18.011
177055,12.375,18.027,11.925,18.027,12.218,18.011
177581,12.375,18.027,11.925,18.027,12.218,18.011
178085,12.375,18.027,11.925,18.027,12.201,18.011
178616,12.375,18.027,11.925,18.027,12.201,18.011
179094,12.375,18.027,11.925,18.027,12.201,18.011
179646,12.375,18.027,11.925,18.027,12.201,18.011
180143,12.375,18.027,11.925,18.027,12.201,18.011
180657,12.375,18.027,11.925,18.027,12.201,18.011
181171,12.375,18.027,11.925,18.027,12.201,18.011
181725,12.375,18.027,11.925,18.027,12.201,18.011
182254,12.375,18.027,11.925,18.027,12.201,18.011
182752,12.375,18.027,11.925,18.027,12.201,18.011
183277,12.375,18.027,11.925,18.027,12.201,18.011
183796,12.375,18.027,11.925,18.027,12.201,18.011
184328,12.375,18.027,11.925,18.027,12.201,18.011
184819,12.375,18.027,11.925,18.027,12.201,18.011
185351,12.375,18.027,11.925,18.027,12.201,18.011
185863,12.375,18.027,11.925,18.027,12.201,18.011
