18A Test,ZZ Top,ZZ Top,Johnny Cash,Johnny Cash,Run DMC,Run DMC
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
236477,12.308,18.027,12.108,18.027,12.119,18.028
237010,12.308,18.027,12.108,18.027,12.119,18.028
237502,12.308,18.027,12.108,18.027,12.119,18.011
238024,12.308,18.027,12.108,18.027,12.119,18.028
238519,12.308,18.027,12.108,18.027,12.119,18.028
239064,12.308,18.027,12.108,18.027,12.119,18.028
239642,12.308,18.027,12.108,18.027,12.119,18.028
240134,12.308,18.027,12.108,18.027,12.119,18.028
240681,12.308,18.027,12.108,18.027,12.119,18.011
241232,12.292,18.027,12.108,18.027,12.119,18.028
241777,12.308,18.027,12.108,18.027,12.119,18.028
242281,12.292,18.027,12.108,18.027,12.119,18.011
242819,12.292,18.027,12.108,18.027,12.119,18.028
243312,12.292,18.027,12.108,18.027,12.119,18.011
243835,12.292,18.027,12.108,18.027,12.119,18.028
244338,12.292,18.027,12.108,18.027,12.119,18.011
244871,12.292,18.027,12.108,18.027,12.119,18.028
245363,12.292,18.027,12.108,18.027,12.119,18.011
245885,12.292,18.027,12.108,18.027,12.119,18.028
246382,12.292,18.027,12.108,18.027,12.119,18.028
246915,12.292,18.027,12.108,18.027,12.119,18.028
247416,12.292,18.027,12.108,18.027,12.119,18.028
247944,12.292,18.027,12.108,18.027,12.119,18.028
248431,12.292,18.027,12.091,18.027,12.119,18.028
248959,12.292,18.027,12.091,18.027,12.119,18.028
249462,12.292,18.027,12.091,18.027,12.119,18.011
249986,12.292,18.027,12.091,18.027,12.119,18.028
250497,12.292,18.027,12.091,18.027,12.119,18.028
251004,12.292,18.027,12.091,18.027,12.119,18.028
251555,12.292,18.027,12.091,18.027,12.119,18.028
252053,12.292,18.027,12.091,18.027,12.119,18.011
252578,12.292,18.027,12.091,18.027,12.119,18.028
253075,12.292,18.027,12.091,18.027,12.119,18.028
253605,12.292,18.027,12.091,18.027,12.119,18.028
254118,12.292,18.027,12.091,18.027,12.119,18.028
254647,12.292,18.027,12.091,18.027,12.119,18.028
255187,12.292,18.027,12.091,18.027,12.119,18.028
255682,12.292,18.027,12.091,18.027,12.119,18.011
256196,12.292,18.027,12.091,18.027,12.119,18.011
256699,12.292,18.027,12.091,18.027,12.119,18.028
257215,12.292,18.027,12.091,18.027,12.119,18.011
257717,12.292,18.027,12.091,18.027,12.119,18.011
258236,12.292,18.027,12.091,18.027,12.119,18.011
