18A Test,Ed Sheeran,Ed Sheeran,Tesseract,Tesseract,BLUE-04284-HA,BLUE-04284-HA
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
159387,12.475,18.027,12.273,18.027,12.765,-0.01
159894,12.475,18.027,12.273,18.027,12.765,-0.01
160364,12.475,18.027,12.273,18.027,12.782,-0.01
160871,12.475,18.027,12.273,18.027,12.765,-0.01
161355,12.475,18.027,12.273,18.027,12.765,-0.01
161880,12.475,18.027,12.273,18.027,12.782,-0.01
162397,12.475,18.027,12.273,18.027,12.782,-0.01
162888,12.475,18.027,12.273,18.027,12.782,-0.01
163407,12.475,18.027,12.273,18.027,12.782,-0.01
163902,12.475,18.027,12.273,18.027,12.782,-0.01
164429,12.475,18.027,12.273,18.027,12.782,-0.01
164919,12.475,18.027,12.273,18.027,12.782,-0.01
165443,12.475,18.027,12.273,18.027,12.782,-0.01
165941,12.475,18.027,12.273,18.027,12.782,-0.01
166449,12.475,18.027,12.273,18.027,12.782,-0.01
166937,12.475,18.027,12.273,18.027,12.782,-0.01
167450,12.475,18.027,12.273,18.027,12.782,-0.01
167938,12.475,18.027,12.273,18.027,12.782,-0.01
168451,12.475,18.027,12.273,18.027,12.782,-0.01
168975,12.475,18.027,12.273,18.027,12.782,-0.01
169501,12.475,18.027,12.273,18.027,12.782,-0.01
170027,12.475,18.027,12.273,18.027,12.782,-0.01
170510,12.475,18.027,12.273,18.027,12.782,-0.01
171025,12.475,18.027,12.273,18.027,12.782,-0.01
171518,12.475,18.027,12.273,18.027,12.782,-0.01
172032,12.475,18.027,12.273,18.027,12.782,-0.01
172529,12.475,18.027,12.273,18.027,12.782,-0.01
173043,12.475,18.027,12.273,18.027,12.782,-0.01
173540,12.475,18.027,12.273,18.027,12.782,-0.01
174052,12.475,18.027,12.273,18.027,12.782,-0.01
174545,12.475,18.027,12.273,18.027,12.782,-0.01
175056,12.475,18.027,12.273,18.027,12.782,-0.01
175548,12.475,18.027,12.273,18.027,12.782,-0.01
176068,12.475,18.027,12.273,18.027,12.782,-0.01
176554,12.475,18.027,12.273,18.027,12.782,-0.01
177071,12.475,18.027,12.273,18.027,12.782,-0.01
177567,12.475,18.027,12.273,18.027,12.782,-0.01
178087,12.475,18.027,12.273,18.027,12.782,-0.01
178559,12.475,18.027,12.273,18.027,12.782,-0.01
179111,12.475,18.027,12.273,18.027,12.782,-0.01
179608,12.475,18.027,12.273,18.027,12.782,-0.01
180129,12.475,18.027,12.273,18.027,12.782,-0.01
180640,12.458,18.027,12.273,18.027,12.782,-0.01
181151,12.458,18.027,12.273,18.027,12.782,-0.01
181647,12.458,18.027,12.273,18.027,12.782,-0.01
182158,12.458,18.027,12.273,18.027,12.782,-0.01
182644,12.458,18.027,12.273,18.027,12.782,-0.01
183159,12.458,18.027,12.273,18.027,12.782,-0.01
183648,12.458,18.027,12.273,18.027,12.782,-0.01
184160,12.458,18.027,12.273,18.027,12.782,-0.01
184652,12.458,18.027,12.273,18.027,12.782,-0.01
185180,12.458,18.027,12.273,18.027,12.782,-0.01
185678,12.458,18.027,12.273,18.027,12.782,-0.01
186198,12.458,18.027,12.273,18.027,12.782,-0.01
186690,12.458,18.027,12.273,18.027,12.782,-0.01
187210,12.458,18.027,12.273,18.027,12.782,-0.01
187708,12.458,18.027,12.273,18.027,12.782,-0.01
188231,12.458,18.027,12.273,18.027,12.782,-0.01
188731,12.458,18.027,12.273,18.027,12.782,-0.01
189241,12.458,18.027,12.273,18.027,12.782,-0.01
189746,12.458,18.027,12.273,18.027,12.782,-0.01
190264,12.458,18.027,12.273,18.027,12.782,-0.01
190790,12.458,18.027,12.273,18.027,12.782,-0.01
191293,12.458,18.027,12.273,18.027,12.782,-0.01
191803,12.458,18.027,12.273,18.027,12.782,-0.01
192297,12.458,18.027,12.273,18.027,12.782,-0.01
192809,12.458,18.027,12.273,18.027,12.782,-0.01
193280,12.458,18.027,12.273,18.027,12.782,-0.01
193806,12.458,18.027,12.273,18.027,12.782,-0.01
194295,12.458,18.027,12.273,18.027,12.782,-0.01
194806,12.458,18.027,12.273,18.027,12.782,-0.01
195295,12.458,18.027,12.273,18.027,12.782,-0.01
195807,12.458,18.027,12.273,18.027,12.782,-0.01
196298,12.458,18.027,12.273,18.027,12.782,-0.01
196813,12.458,18.027,12.273,18.027,12.782,-0.01
197300,12.458,18.027,12.273,18.027,12.782,-0.01
197824,12.458,18.027,12.273,18.027,12.782,-0.01
198318,12.458,18.027,12.273,18.027,12.782,-0.01
198838,12.458,18.027,12.273,18.027,12.782,-0.01
199313,12.458,18.027,12.273,18.027,12.782,-0.01
199833,12.458,18.027,12.273,18.027,12.782,-0.01
