18A Test,Moto Moto,Moto Moto,BLUE-07064-HA-3,BLUE-07064-HA-3,BLUE-07064-HA-4,BLUE-07064-HA-4
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
151869,12.325,18.027,12.77,0.003,6.777,0.006
152346,12.325,18.027,12.77,0.003,6.777,-0.01
152841,12.325,18.027,12.77,0.003,6.777,0.006
153317,12.325,18.027,12.77,0.003,6.777,-0.01
153818,12.325,18.027,12.77,0.003,6.777,-0.01
154290,12.325,18.027,12.77,0.003,6.777,-0.01
154785,12.325,18.027,12.77,0.003,6.777,-0.01
155260,12.325,18.027,12.77,0.003,6.777,-0.01
155748,12.325,18.027,12.77,0.003,6.777,0.006
156226,12.325,18.027,12.77,0.003,6.777,-0.01
156722,12.325,18.027,12.77,0.003,6.777,-0.01
157200,12.325,18.027,12.77,0.003,6.777,-0.01
157694,12.325,18.027,12.77,0.003,6.777,0.006
158151,12.325,18.027,12.77,0.003,6.777,-0.01
158653,12.325,18.027,12.77,0.003,6.777,-0.01
159119,12.325,18.027,12.77,0.003,6.777,-0.01
159647,12.325,18.027,12.77,0.003,6.777,-0.01
160151,12.325,18.027,12.77,0.003,6.777,-0.01
160648,12.325,18.027,12.77,0.003,6.777,-0.01
161154,12.325,18.027,12.77,0.003,6.777,-0.01
161692,12.325,18.027,12.77,0.003,6.777,-0.01
162247,12.325,18.027,12.77,0.003,6.777,0.006
162720,12.325,18.027,12.77,0.003,6.777,-0.01
163218,12.325,18.027,12.77,0.003,6.777,-0.01
163688,12.325,18.027,12.77,0.003,6.777,0.006
164166,12.325,18.027,12.77,0.003,6.777,0.006
164683,12.325,18.027,12.77,0.003,6.777,-0.01
165246,12.325,18.027,12.77,0.003,6.777,-0.01
165733,12.325,18.027,12.77,0.003,6.777,0.006
166239,12.325,18.027,12.77,0.003,6.777,-0.01
166764,12.325,18.027,12.77,0.003,6.777,-0.01
167287,12.325,18.027,12.77,0.003,6.777,0.006
167762,12.325,18.027,12.77,0.003,6.777,-0.01
168261,12.325,18.027,12.77,0.003,6.777,-0.01
168741,12.325,18.027,12.77,0.003,6.777,-0.01
169284,12.325,18.027,12.77,0.003,6.777,-0.01
169784,12.325,18.027,12.77,0.003,6.761,-0.01
170273,12.325,18.027,12.77,0.003,6.777,0.006
170752,12.325,18.027,12.77,0.003,6.777,-0.01
171283,12.325,18.027,12.77,0.003,6.777,-0.01
171750,12.325,18.027,12.77,0.003,6.777,-0.01
172242,12.325,18.027,12.77,0.003,6.761,-0.01
172716,12.325,18.027,12.77,0.003,6.761,-0.01
173217,12.325,18.027,12.77,0.003,6.777,-0.01
173754,12.325,18.027,12.77,0.003,6.761,-0.01
174246,12.325,18.027,12.77,0.003,6.761,-0.01
174807,12.325,18.027,12.77,0.003,6.761,-0.01
175295,12.325,18.027,12.77,0.003,6.761,0.006
175749,12.325,18.027,12.77,0.003,6.761,0.006
176249,12.325,18.027,12.77,0.003,6.761,-0.01
176750,12.325,18.027,12.77,0.003,6.761,-0.01
177285,12.325,18.027,12.77,0.003,6.777,-0.01
177758,12.325,18.027,12.77,0.003,6.761,-0.01
178253,12.325,18.027,12.77,0.003,6.761,-0.01
178755,12.325,18.027,12.77,0.003,6.761,0.006
179229,12.325,18.027,12.77,0.003,6.761,-0.01
179776,12.325,18.027,12.77,0.003,6.761,-0.01
180252,12.325,18.027,12.77,0.003,6.761,-0.01
180755,12.325,18.027,12.77,0.003,6.761,-0.01
181226,12.325,18.027,12.77,0.003,6.761,0.006
181730,12.325,18.027,12.77,0.003,6.761,0.006
182238,12.325,18.027,12.77,0.003,6.761,-0.01
182760,12.325,18.027,12.77,0.003,6.761,-0.01
183316,12.325,18.027,12.77,0.003,6.777,-0.01
183797,12.325,18.027,12.77,0.003,6.761,-0.01
184330,12.325,18.027,12.77,0.003,6.777,-0.01
184803,12.325,18.027,12.77,0.003,6.761,-0.01
185319,12.325,18.027,12.77,0.003,6.761,-0.01
185843,12.325,18.027,12.77,0.003,6.761,-0.01
186340,12.325,18.027,12.77,0.003,6.761,0.006
186892,12.325,18.027,12.77,0.003,6.761,-0.01
187368,12.325,18.027,12.77,0.003,6.761,-0.01
187872,12.325,18.027,12.77,0.003,6.761,-0.01
188344,12.325,18.027,12.77,0.003,6.761,-0.01
188848,12.325,18.027,12.77,0.003,6.761,-0.01
189328,12.325,18.027,12.77,0.003,6.761,-0.01
189825,12.325,18.027,12.77,0.003,6.761,-0.01
190334,12.325,18.027,12.77,0.003,6.761,-0.01
190854,12.325,18.027,12.77,0.003,6.761,0.006
191371,12.325,18.027,12.77,0.003,6.761,-0.01
191891,12.325,18.027,12.77,0.003,6.761,-0.01
192385,12.325,18.027,12.77,0.003,6.761,-0.01
192858,12.325,18.027,12.77,0.003,6.761,-0.01
193362,12.325,18.027,12.77,0.003,6.761,0.006
193825,12.325,18.027,12.77,0.003,6.761,-0.01
194323,12.325,18.027,12.77,0.003,6.761,-0.01
194798,12.325,18.027,12.77,0.003,6.761,-0.01
195296,12.325,18.027,12.77,0.003,6.761,-0.01
195799,12.325,18.027,12.77,0.003,6.761,-0.01
196319,12.325,18.027,12.77,0.003,6.761,0.006
196794,12.325,18.027,12.77,0.003,6.761,-0.01
197330,12.325,18.027,12.77,0.003,6.761,-0.01
197849,12.325,18.027,12.77,0.003,6.761,-0.01
198322,12.325,18.027,12.77,0.003,6.761,-0.01
198817,12.325,18.027,12.77,0.003,6.761,-0.01
199292,12.325,18.027,12.77,0.003,6.761,-0.01
199815,12.325,18.027,12.77,0.003,6.761,-0.01
200313,12.325,18.027,12.77,0.003,6.761,-0.01
200863,12.325,18.027,12.77,0.003,6.761,-0.01
201419,12.325,18.027,12.77,0.003,6.761,-0.01
201921,12.325,18.027,12.77,0.003,6.761,-0.01
202384,12.325,18.027,12.77,0.003,6.761,-0.01
202914,12.325,18.027,12.77,0.003,6.761,-0.01
203406,12.325,18.027,12.77,0.003,6.744,-0.01
203961,12.325,18.027,12.77,0.003,6.761,0.006
204451,12.325,18.027,12.77,0.003,6.744,-0.01
204955,12.325,18.027,12.77,0.003,6.744,-0.01
205476,12.325,18.027,12.77,0.003,6.744,-0.01
205979,12.325,18.027,12.77,0.003,6.761,-0.01
206528,12.325,18.027,12.77,0.003,6.761,-0.01
207039,12.325,18.027,12.77,0.003,6.744,0.006
207506,12.325,18.027,12.77,0.003,6.761,-0.01
208012,12.325,18.027,12.77,0.003,6.761,-0.01
208491,12.325,18.027,12.77,0.003,6.761,-0.01
208986,12.325,18.027,12.77,0.003,6.761,-0.01
209468,12.325,18.027,12.77,0.003,6.744,-0.01
209958,12.325,18.027,12.77,0.003,6.761,0.006
210427,12.325,18.027,12.77,0.003,6.761,-0.01
210994,12.325,18.027,12.77,0.003,6.761,-0.01
211511,12.325,18.027,12.77,0.003,6.744,0.006
211972,12.325,18.027,12.77,0.003,6.744,-0.01
212494,12.325,18.027,12.77,0.003,6.761,-0.01
213022,12.325,18.027,12.77,0.003,6.744,-0.01
213516,12.325,18.027,12.77,0.003,6.744,0.006
214046,12.325,18.027,12.77,0.003,6.744,-0.01
214572,12.325,18.027,12.77,0.003,6.744,-0.01
215046,12.308,18.027,12.77,0.003,6.744,-0.01
215606,12.325,18.027,12.77,0.003,6.761,0.006
216070,12.325,18.027,12.77,0.003,6.744,-0.01
216628,12.308,18.027,12.77,0.003,6.761,0.006
217121,12.308,18.027,12.77,0.003,6.744,-0.01
217610,12.308,18.027,12.77,0.003,6.744,-0.01
218105,12.308,18.027,12.77,0.003,6.744,-0.01
218604,12.308,18.027,12.77,0.003,6.744,0.006
219150,12.308,18.027,12.77,0.003,6.761,0.006
219656,12.308,18.027,12.77,0.003,6.761,-0.01
220156,12.308,18.027,12.77,0.003,6.744,-0.01
220631,12.308,18.027,12.77,0.003,6.744,-0.01
221126,12.308,18.027,12.77,0.003,6.744,-0.01
221604,12.308,18.027,12.77,0.003,6.744,0.006
222100,12.308,18.027,12.787,0.003,6.744,-0.01
222570,12.308,18.027,12.787,0.003,6.744,-0.01
223059,12.308,18.027,12.77,0.003,6.744,0.006
223523,12.308,18.027,12.787,0.003,6.744,-0.01
224031,12.308,18.027,12.787,0.003,6.744,-0.01
224520,12.308,18.027,12.787,0.003,6.744,-0.01
225008,12.308,18.027,12.787,0.003,6.744,-0.01
225493,12.308,18.027,12.787,0.003,6.744,-0.01
225993,12.308,18.027,12.787,0.003,6.744,-0.01
226460,12.308,18.027,12.787,0.003,6.744,-0.01
227017,12.308,18.027,12.787,0.003,6.744,-0.01
227502,12.308,18.027,12.787,0.003,6.744,-0.01
227983,12.308,18.027,12.787,0.003,6.744,-0.01
228484,12.308,18.027,12.787,0.003,6.744,-0.01
228959,12.308,18.027,12.787,0.003,6.744,-0.01
229461,12.308,18.027,12.787,0.003,6.744,-0.01
229940,12.308,18.027,12.787,0.003,6.744,-0.01
230433,12.308,18.027,12.787,0.003,6.744,-0.01
230909,12.308,18.027,12.787,0.003,6.744,-0.01
231402,12.308,18.027,12.787,0.003,6.744,-0.01
231870,12.308,18.027,12.787,0.003,6.744,-0.01
232380,12.308,18.027,12.787,0.003,6.744,-0.01
232850,12.308,18.027,12.787,0.003,6.744,-0.01
233415,12.308,18.027,12.787,0.003,6.744,-0.01
233892,12.308,18.027,12.787,0.003,6.744,-0.01
234395,12.308,18.027,12.787,0.003,6.744,-0.01
234890,12.308,18.027,12.787,0.003,6.744,-0.01
235361,12.308,18.027,12.787,0.003,6.744,-0.01
235854,12.308,18.027,12.787,0.003,6.744,-0.01
236325,12.308,18.027,12.787,0.003,6.744,-0.01
236817,12.308,18.027,12.787,0.003,6.744,0.006
237339,12.308,18.027,12.787,0.003,6.744,-0.01
237861,12.308,18.027,12.787,0.003,6.744,0.006
238368,12.308,18.027,12.787,0.003,6.744,-0.01
238839,12.308,18.027,12.787,0.003,6.744,-0.01
239329,12.308,18.027,12.787,0.003,6.744,-0.01
239800,12.308,18.027,12.787,0.003,6.744,-0.01
240302,12.308,18.027,12.787,0.003,6.744,-0.01
240765,12.308,18.027,12.787,0.003,6.744,-0.01
241324,12.308,18.027,12.787,0.003,6.744,-0.01
241795,12.308,18.027,12.787,0.003,6.744,-0.01
242279,12.308,18.027,12.787,0.003,6.744,0.006
