18A Test,,,,,BLACK-KOP-YH201812,BLACK-KOP-YH201812
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
183776,-0.147,-0.001,-0.138,0.003,11.77,18.028
184240,-0.147,-0.001,-0.138,0.003,11.77,18.028
184723,-0.147,-0.001,-0.138,0.003,11.77,18.028
185178,-0.147,-0.001,-0.138,0.003,11.77,18.028
185670,-0.147,-0.001,-0.138,0.003,11.77,18.028
186122,-0.147,-0.001,-0.138,0.003,11.77,18.028
186606,-0.147,-0.001,-0.138,0.003,11.77,18.028
187078,-0.147,-0.001,-0.138,0.003,11.77,18.028
187563,-0.147,-0.001,-0.138,0.003,11.77,18.028
188008,-0.147,-0.001,-0.138,0.003,11.77,18.028
188490,-0.147,-0.001,-0.138,0.003,11.77,18.028
188954,-0.147,-0.001,-0.138,0.003,11.77,18.028
189430,-0.147,-0.001,-0.138,0.003,11.77,18.028
189891,-0.147,-0.001,-0.138,0.003,11.77,18.028
190366,-0.147,-0.001,-0.138,0.003,11.77,18.028
190836,-0.147,-0.001,-0.138,0.003,11.77,18.028
191319,-0.147,-0.001,-0.138,0.003,11.77,18.028
191811,-0.147,-0.001,-0.138,0.003,11.77,18.028
192294,-0.147,-0.001,-0.138,0.003,11.77,18.028
192758,-0.147,-0.001,-0.138,0.003,11.77,18.028
193257,-0.147,-0.001,-0.138,0.003,11.77,18.028
193735,-0.147,-0.001,-0.138,0.003,11.77,18.028
194198,-0.147,-0.001,-0.138,0.003,11.77,18.028
194682,-0.147,-0.001,-0.138,0.003,11.77,18.028
195157,-0.147,-0.001,-0.138,0.003,11.77,18.028
195633,-0.147,-0.001,-0.138,0.003,11.77,18.028
196094,-0.147,-0.001,-0.138,0.003,11.77,18.028
196577,-0.147,-0.001,-0.138,0.003,11.77,18.028
197034,-0.147,-0.001,-0.138,0.003,11.77,18.028
197505,-0.147,-0.001,-0.138,0.003,11.77,18.028
197962,-0.147,-0.001,-0.138,0.003,11.77,18.028
198436,-0.147,-0.001,-0.138,0.003,11.77,18.028
198889,-0.147,-0.001,-0.138,0.003,11.77,18.028
199387,-0.147,-0.001,-0.138,0.003,11.77,18.028
199842,-0.147,-0.001,-0.138,0.003,11.77,18.028
200328,-0.147,-0.001,-0.138,0.003,11.77,18.028
200786,-0.147,-0.001,-0.138,0.003,11.77,18.028
201269,-0.147,-0.001,-0.138,0.003,11.77,18.028
201755,-0.147,-0.001,-0.138,0.003,11.77,18.028
202244,-0.147,-0.001,-0.138,0.003,11.77,18.028
202704,-0.147,-0.001,-0.138,0.003,11.77,18.028
203202,-0.147,-0.001,-0.138,0.003,11.77,18.028
203660,-0.147,-0.001,-0.138,0.003,11.77,18.028
204143,-0.147,-0.001,-0.138,0.003,11.77,18.028
204601,-0.147,-0.001,-0.138,0.003,11.77,18.028
205081,-0.147,-0.001,-0.138,0.003,11.77,18.028
205547,-0.147,-0.001,-0.138,0.003,11.77,18.028
206026,-0.147,-0.001,-0.138,0.003,11.77,18.028
206485,-0.147,-0.001,-0.138,0.003,11.77,18.028
206982,-0.147,-0.001,-0.138,0.003,11.77,18.028
207450,-0.147,-0.001,-0.138,0.003,11.77,18.028
207921,-0.147,-0.001,-0.138,0.003,11.77,18.028
208382,-0.147,-0.001,-0.138,0.003,11.77,18.028
208860,-0.147,-0.001,-0.138,0.003,11.77,18.028
209325,-0.147,-0.001,-0.138,0.003,11.77,18.028
209804,-0.147,-0.001,-0.138,0.003,11.77,18.028
210260,-0.147,-0.001,-0.138,0.003,11.77,18.028
210746,-0.147,-0.001,-0.138,0.003,11.77,18.028
211206,-0.147,-0.001,-0.138,0.003,11.77,18.028
211711,-0.147,-0.001,-0.138,0.003,11.77,18.028
212179,-0.147,-0.001,-0.138,0.003,11.77,18.028
212660,-0.147,-0.001,-0.138,0.003,11.77,18.028
213114,-0.147,-0.001,-0.138,0.003,11.77,18.028
