18A Test,ACDC,ACDC,,,Kanye West,Kanye West
Time (ms),Voltage1 (V),Current1 (A),Voltage2 (V),Current2 (A),Voltage3 (V),Current3 (A)
182098,12.508,18.027,-0.138,0.003,11.953,18.011
182616,12.508,18.027,-0.138,0.003,11.953,18.011
183093,12.508,18.027,-0.138,0.003,11.953,18.011
183603,12.508,18.027,-0.138,0.003,11.953,18.011
184077,12.508,18.027,-0.138,0.003,11.953,18.011
184584,12.508,18.027,-0.138,0.003,11.953,18.011
185066,12.508,18.027,-0.138,0.003,11.953,18.011
185577,12.508,18.027,-0.138,0.003,11.953,18.011
186065,12.508,18.027,-0.138,0.003,11.953,18.011
186571,12.508,18.027,-0.138,0.003,11.953,18.011
187078,12.508,18.027,-0.138,0.003,11.953,18.011
187585,12.508,18.027,-0.138,0.003,11.953,18.011
188099,12.508,18.027,-0.138,0.003,11.953,18.011
188569,12.508,18.027,-0.138,0.003,11.953,18.011
189078,12.508,18.027,-0.138,0.003,11.953,18.011
189557,12.508,18.027,-0.138,0.003,11.953,18.011
190059,12.508,18.027,-0.138,0.003,11.953,18.011
190547,12.508,18.027,-0.138,0.003,11.953,18.011
191056,12.508,18.027,-0.138,0.003,11.953,18.011
191534,12.508,18.027,-0.138,0.003,11.953,18.011
192038,12.508,18.027,-0.138,0.003,11.953,18.011
192517,12.508,18.027,-0.138,0.003,11.953,18.011
193021,12.508,18.027,-0.138,0.003,11.953,18.011
193494,12.508,18.027,-0.138,0.003,11.953,18.011
194001,12.508,18.027,-0.138,0.003,11.953,18.011
194489,12.491,18.027,-0.138,0.003,11.953,18.011
194983,12.508,18.027,-0.138,0.003,11.953,18.011
195493,12.508,18.027,-0.138,0.003,11.953,18.011
196001,12.491,18.027,-0.138,0.003,11.953,18.011
196480,12.491,18.027,-0.138,0.003,11.953,18.011
196996,12.491,18.027,-0.138,0.003,11.953,18.011
197481,12.491,18.027,-0.138,0.003,11.953,18.011
197989,12.491,18.027,-0.138,0.003,11.953,18.011
198481,12.491,18.027,-0.138,0.003,11.953,18.011
198977,12.491,18.027,-0.138,0.003,11.953,18.011
199454,12.491,18.027,-0.138,0.003,11.953,18.011
199963,12.491,18.027,-0.138,0.003,11.953,18.011
200439,12.491,18.027,-0.138,0.003,11.953,18.011
200949,12.491,18.027,-0.138,0.003,11.953,18.011
201423,12.491,18.027,-0.138,0.003,11.953,18.011
201929,12.491,18.027,-0.138,0.003,11.953,18.011
202414,12.491,18.027,-0.138,0.003,11.953,18.011
202920,12.491,18.027,-0.138,0.003,11.953,18.011
203389,12.491,18.027,-0.138,0.003,11.953,18.011
203897,12.491,18.027,-0.138,0.003,11.953,18.011
204385,12.491,18.027,-0.138,0.003,11.953,18.011
204901,12.491,18.027,-0.138,0.003,11.953,18.011
205377,12.491,18.027,-0.138,0.003,11.953,18.011
205912,12.491,18.027,-0.138,0.003,11.953,18.011
206438,12.491,18.027,-0.138,0.003,11.953,18.011
206925,12.491,18.027,-0.138,0.003,11.953,18.011
207426,12.491,18.027,-0.138,0.003,11.953,18.011
